145;CONDE CASAL;ENSANCHE VALLECAS
146;CALLAO;LOS MOLINOS
147;CALLAO;BARRIO DEL PILAR
148;CALLAO;PUENTE VALLECAS
149;TRIBUNAL;PLAZA CASTILLA
150;SOL/SEVILLA;VIRGEN CORTIJO
151;CANILLEJAS;BARAJAS
152;FELIPE II;MENDEZ ALVARO
153;LAS ROSAS;MAR DE CRISTAL
155;PLAZA ELIPTICA;ALUCHE
156;MANUEL BECERRA;LEGAZPI
160;MONCLOA;ARAVACA
161;MONCLOA;ARAVACA SUR
162;MONCLOA;EL BARRIAL
165;ALSACIA;HOSPITAL RAMON Y CAJAL
171;MAR DE CRISTAL;VALDEBEBAS
172;MAR DE CRISTAL;TELEFONICA
173;PLAZA CASTILLA;SANCHINARRO
174;PLAZA CASTILLA;VALDEBEBAS
175;PZA.CASTILLA;LAS TABLAS NORTE
176;PLAZA CASTILLA;LAS TABLAS SUR
177;PLAZA CASTILLA;MQUES.DE VIANA
178;PLAZA CASTILLA;MONTECARMELO
180;LEGAZPI;CAJA MAGICA
200;AVENIDA AMERICA;AEROPUERTO
203;ATOCHA RENFE;AEROPUERTO
210;DIEGO DE LEON;LA ELIPA
215;FELIPE II;PARQUE ROMA
247;ATOCHA;SAN JOSE OBRERO
310;PACIFICO;ESTACION EL POZO
A;MONCLOA;SOMOSAGUAS
C1;GOYA;GOYA
C2;GOYA;GOYA
E;CONDE CASAL;SIERRA GUADALUPE
E1;ATOCHA;PLAZA ELIPTICA
E2;FELIPE II;LAS ROSAS
E3;FELIPE II;VALDERRIVAS
E4;FELIPE II;VALDEBERNARDO
F;CUATRO CAMINOS;C.UNIVERSITARIA
G;MONCLOA;CIUDAD UNIVERSITARIA
H;ALUCHE;SOMOSAGUAS
H1;SIERRA GUADALUPE;H.I.LEONOR
M1;SOL/SEVILLA;EMBAJADORES
M2;SEVILLA;ARGÜELLES
N1;CIBELES;SANCHINARRO
N2;CIBELES;VALDEBEBAS
N3;CIBELES;CANILLAS
N4;CIBELES;BARAJAS
N5;CIBELES;FIN DE SEMANA
N6;CIBELES;LAS ROSAS
N7;CIBELES;VALDERRIVAS
N8;CIBELES;VALDEBERNARDO
N9;CIBELES;ENSANCHE VALLECAS
N10;CIBELES;PALOMERAS
N11;CIBELES;MADRID SUR
N12;CIBELES;BUTARQUE
N13;CIBELES;SAN CRISTOBAL
N14;CIBELES;VILLAVERDE ALTO
N15;CIBELES;ORCASUR
N16;CIBELES;LA PESETA
N17;CIBELES;CARABANCHEL ALTO
N18;CIBELES;ALUCHE
N19;CIBELES;SAN IGNACIO
N20;CIBELES;PITIS
N21;CIBELES;ARROYO FRESNO
N22;CIBELES;BARRIO DEL PILAR
N23;CIBELES;MONTECARMELO
N24;CIBELES;LAS TABLAS
N25;ALONSO MARTINEZ;VILLA VALLECAS
N26;ALONSO MARTINEZ;ALUCHE
N27;CIBELES;AEROPUERTO
N28;MONCLOA;ARAVACA
SE702;PLAZA ELIPTICA;CEMENTERIO SUR
SE704;PLAZA CASTILLA;CMTº FUENCARRAL
SE718;PUERTA ARGANDA;CAÑADA REAL
SE721;CANILLEJAS;METROPOLITANO
SE722;BARAJAS;HOSPITAL RAMON Y CAJAL
SE723;ALSACIA;CAÑAVERAL
SE730;PRINCIPE PIO;PINAR DE SAN JOSE
SE766;ATOCHA;POL.INDUSTRIAL VALLECAS
SE786;PRINCIPE DE VERGARA;CALLAO
T11;MAR DE CRISTAL;CRISTALIA
T23;PUERTA ARGANDA;P.IND.VICALVARO
T31;EST.EL POZO;SIERRA GUADALUPE
T32;LEGAZPI;MERCAMADRID
T41;VILLAVERDE ALTO;P.I.LA RESINA
T61;ESTACION FUENCARRAL;LAS TABLAS
T62;PLAZA CASTILLA;CHAMARTIN
U;AVENIDA SENECA;PARANINFO
